date,volume,open,high,low,close
2015/11/4,41832160,103.19,104.14,102.48,103.94
2015/11/3,21178920,103.22,103.65,102.4,102.58
2015/11/2,23972130,102.46,103.47,101.18,103.31
2015/10/30,33436740,104.51,104.72,101.65,101.97
2015/10/29,20157920,103.96,105.12,103.52,104.88
2015/10/28,24053690,103.9,104.48,102.92,104.2
2015/10/27,23741160,102.94,104.1,102.4,103.7
2015/10/26,25912180,102.2,103.81,101.55,103.77
2015/10/23,42754060,101.91,102.85,100.16,102.19
2015/10/22,25971110,97.79,99.73,97.55,99.67
2015/10/21,21971730,97.37,98.18,96.47,97.11
2015/10/20,30824330,98.73,99.59,96.56,97
2015/10/19,23605470,97.18,98.57,96.92,98.47
2015/10/16,25370980,96.18,97.59,95.35,97.54
2015/10/15,27499010,94.99,96.3,94.9,95.96
2015/10/14,19197310,94.08,95.2,93.61,94.07
2015/10/13,19406320,93.66,95.37,93.55,94.12
2015/10/12,18396970,93.32,94.6,92.67,94.26
2015/10/9,19979290,92.9,93.74,92.239,93.24
2015/10/8,27237050,91.89,93.22,90.47,92.47
2015/10/7,24094490,93.11,93.66,91.37,92.4
2015/10/6,22459730,94.08,94.17,92.34,92.8
2015/10/5,27258120,92.94,94.27,92.66,94.01
2015/10/2,37672130,88.9,92.2,88.37,92.07
2015/10/1,29219020,90.05,90.95,88.36,90.95
2015/9/30,36113040,88.44,90.02,88.01,89.9
2015/9/29,42212360,89.1,90.06,85.72,86.67
2015/9/28,41060880,92.08,92.29,88.18,89.21
2015/9/25,28910510,95.79,95.85,92.06,92.77
2015/9/24,29037890,93.06,94.765,92.24,94.41
2015/9/23,21672220,93.4,94.32,92.8,93.97
2015/9/22,36834600,93.77,94.68,91.92,92.96
2015/9/21,28760280,94.62,96.49,94.52,95.55
2015/9/18,62232280,93.2,95.19,93.05,94.4
2015/9/17,27716330,93.37,95.51,92.9,94.34
2015/9/16,16265640,92.9,93.6,92.63,93.45
2015/9/15,18820730,92.37,93.25,91.79,92.9
2015/9/14,20108630,92.31,92.62,91.6,92.31
2015/9/11,21102320,91.68,92.08,91.13,92.05
2015/9/10,26392490,90.07,92.06,89.63,91.98
2015/9/9,32482750,90.78,91.98,90.17,90.44
2015/9/8,26935820,89.69,90.24,88.83,89.53
2015/9/4,27277250,87.2,88.39,86.7,88.26
2015/9/3,26954140,89.76,89.82,87.73,88.15
2015/9/2,27010970,88.81,89.89,87.63,89.89
2015/9/1,35958020,86.85,89.39,86.5,87.23
2015/8/31,32771380,90.6,91.05,88.89,89.43
2015/8/28,33174580,89.88,91.48,89.792,91.01
2015/8/27,42290120,89.1,90.06,87.19,89.73
2015/8/26,44994100,85.95,87.46,83.26,87.19
2015/8/25,51860780,86.95,87.67,83,83
2015/8/24,83487210,77.03,87.14,72,82.09
2015/8/21,62473650,87.52,89.18,85.61,86.06
2015/8/20,44415420,93.54,94.77,90.46,90.56
2015/8/19,23176290,94.63,96.1,94.161,95.31
2015/8/18,22222720,94.08,95.85,94.04,95.17
2015/8/17,18284030,94.42,94.46,93.39,93.93
2015/8/14,15904340,93.54,94.72,93.21,94.42
2015/8/13,17398890,94.05,94.73,93.35,93.43
2015/8/12,27075100,92.7,94.44,91.19,94.19
2015/8/11,22244980,93.73,94.76,92.9006,93.62
2015/8/10,21461830,95.68,95.9,93.63,94.15
2015/8/7,23141300,95.38,95.4,93.61,94.3
2015/8/6,42205860,97.18,98.74,94.42,95.12
2015/8/5,29718020,95.25,97.09,95.18,96.44
2015/8/4,20050730,93.79,94.73,93.33,94.06
2015/8/3,29262980,93.53,95.08,92.8,94.14
2015/7/31,46386320,94.95,96.33,93.95,94.01
2015/7/30,86021630,94.91,95.81,91.8,95.21
2015/7/29,61383310,96.32,97.28,94.74,96.99
2015/7/28,34826750,94.84,95.56,93.31,95.29
2015/7/27,38428000,96.58,96.61,93.8301,94.17
2015/7/24,33351170,97.35,97.76,95.88,96.95
2015/7/23,29281230,96.96,97.45,94.81,95.44
2015/7/22,28196110,96.74,97.58,95.92,97.04
2015/7/21,39163900,98.95,99.24,97.1427,98.39
2015/7/20,54786320,95.85,98.6,95.36,97.91
2015/7/17,53767930,92.55,95.39,92.54,94.97
2015/7/16,21417840,90.28,90.86,89.77,90.85
2015/7/15,30818700,90,90.99,89.42,89.76
2015/7/14,26568630,90.46,90.8,89.65,89.68
2015/7/13,29682360,88.66,90.22,88.42,90.1
2015/7/10,23191120,87.35,88.22,86.77,87.95
2015/7/9,23237200,86.73,87.6,85.6499,85.88
2015/7/8,24351990,86.29,86.75,85.445,85.65
2015/7/7,33023960,87.8,87.85,85.231,87.22
2015/7/6,24592870,86.49,88.1846,86.39,87.55
2015/7/2,16875000,87.4,87.44,86.3401,87.285
2015/7/1,25198260,86.77,87.95,86.49,86.91
2015/6/30,23195430,86.6,86.7,85.57,85.765
2015/6/29,35869530,86.61,87.5,85.73,85.8
2015/6/26,38185770,88.12,88.34,86.8283,88.01
2015/6/25,27245480,89.26,89.4,87.835,87.98
2015/6/24,41337040,87.66,89.25,87.45,88.86
2015/6/23,50336830,84.96,87.97,84.76,87.88
2015/6/22,29076040,83.41,84.97,83.31,84.74
2015/6/19,23337800,82.83,82.98,82.12,82.51
2015/6/18,26726860,81.64,83.19,81.57,82.905
2015/6/17,18326140,81.76,82.22,81.34,81.79
2015/6/16,13673040,80.82,81.51,80.45,81.06
2015/6/15,18782870,80.55,80.93,80.07,80.71
2015/6/12,11403090,81.37,82.09,81.2,81.53
2015/6/11,18619240,82.31,82.9,81.36,81.83
2015/6/10,21485920,80.83,82.6,80.81,82.16
2015/6/9,16443310,80.6,81.19,79.32,80.67
2015/6/8,16882270,81.82,82,80.13,80.67
2015/6/5,16087280,81.87,82.46,81.51,82.14
2015/6/4,20825910,82.14,82.95,81.51,82.05
2015/6/3,31633300,81.35,82.53,81.25,82.44
